,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
5506,533138,ASTEC,ASTEC LIFESCIENCES LIMITED,Active,B ,10.0,INE563J01010,Agrochemicals,Equity
5508,533144,COX&amp;KINGS,Cox &amp; Kings Limited,Active,A ,5.0,INE008I01026,Travel Support Services,Equity
5510,533146,DLINKINDIA,D-Link (India) Ltd,Active,B ,2.0,INE250K01012,IT Networking Equipment,Equity
5512,533148,JSWENERGY,JSW Energy Ltd,Active,A ,10.0,INE121E01018,Electric Utilities,Equity
5513,533150,GODREJPROP,Godrej Properties Ltd,Active,A ,5.0,INE484J01027,Realty,Equity
5514,533151,DBCORP,D B Corp Ltd,Active,A ,10.0,INE950I01011,Publishing,Equity
5515,533152,MBLINFRA,MBL Infrastructures Ltd,Active,T ,10.0,INE912H01013,Construction &amp; Engineering,Equity
5517,533154,INFINITE,Infinite Computer Solutions (India) Ltd,Active,B ,10.0,INE486J01014,IT Consulting &amp; Software,Equity
5518,533155,JUBLFOOD,Jubilant FoodWorks Ltd,Active,A ,10.0,INE797F01012,Restaurants,Equity
5519,533156,VASCONEQ,Vascon Engineers Ltd,Active,B ,10.0,INE893I01013,Realty,Equity
5520,533157,SYNCOM,Syncom Healthcare Ltd,Active,B ,10.0,INE602K01014,Pharmaceuticals,Equity
5521,533158,THANGAMAYL,Thangamayil Jewellery Ltd,Active,B ,10.0,INE085J01014,Other Apparels &amp; Accessories,Equity
5523,533160,DBREALTY,D B Realty Ltd,Active,B ,10.0,INE879I01012,Realty,Equity
5524,533161,EMMBI,Emmbi Industries Ltd,Active,B ,10.0,INE753K01015,Containers &amp; Packaging,Equity
5525,533162,HATHWAY,Hathway Cable &amp; Datacom Ltd,Active,A ,2.0,INE982F01036,Broadcasting &amp; Cable TV,Equity
5526,533163,ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD.,Active,T ,10.0,INE267I01010,Construction &amp; Engineering,Equity
5527,533164,TEXMOPIPES,TEXMO PIPES &amp; PRODUCTS LTD.,Active,T ,10.0,INE141K01013,Plastic Products,Equity
5529,533166,SUNDARAM,SUNDARAM MULTI PAP LTD.,Active,B ,1.0,INE108E01023,Comm.Printing/Stationery,Equity
5530,533168,ROSSELLIND,ROSSELL INDIA LTD.,Active,B ,2.0,INE847C01020,Tea &amp; Coffee,Equity
5531,533169,MANINFRA,MAN INFRACONSTRUCTION LTD.,Active,B ,2.0,INE949H01023,Construction &amp; Engineering,Equity
5532,533171,UNITEDBNK,UNITED BANK OF INDIA,Active,B ,10.0,INE695A01019,Banks,Equity
5533,533176,DQE,DQ ENTERTAINMENT (INTERNATIONAL) LTD.,Active,T ,10.0,INE656K01010,Movies &amp; Entertainment,Equity
5534,533177,IL&amp;FSTRANS,IL&amp;FS Transportation Networks Ltd,Active,A ,10.0,INE975G01012,Roads &amp; Highways,Equity
5535,533178,PRADIP,Pradip Overseas Ltd,Active,B ,10.0,INE495J01015,Textiles,Equity
5536,533179,PERSISTENT,PERSISTENT SYSTEMS LTD.,Active,A ,10.0,INE262H01013,IT Consulting &amp; Software,Equity
5538,533181,ISFT,INTRASOFT TECHNOLOGIES LTD.,Active,B ,10.0,INE566K01011,Internet &amp; Catalogue Retail,Equity
5539,533189,GOENKA,GOENKA DIAMOND &amp; JEWELS LTD.,Active,Z ,1.0,INE516K01024,Other Apparels &amp; Accessories,Equity
5540,533192,KCPSUGIND,KCP SUGAR &amp; INDUSTRIES CORPORATION LTD.,Active,B ,1.0,INE790B01024,Sugar,Equity
5541,533193,KECL,Kirloskar Electric Company Ltd,Active,B ,10.0,INE134B01017,Other Elect.Equip./ Prod.,Equity
5542,533200,TALWALKARS,Talwalkars Better Value Fitness Ltd,Active,B ,10.0,INE502K01016,Other Leisure Facilities,Equity
5544,533202,NITESHEST,Nitesh Estates Ltd,Active,B ,10.0,INE639K01016,Realty,Equity
5545,533203,TARAPUR,Tarapur Transformers Ltd,Active,T ,10.0,INE747K01017,Heavy Electrical Equipment,Equity
5546,533204,MANDHANA,Mandhana Industries Ltd,Active,B ,10.0,INE087J01010,Textiles,Equity
5548,533206,SJVN,SJVN Ltd,Active,A ,10.0,INE002L01015,Electric Utilities,Equity
5549,533207,JPINFRATEC,Jaypee Infratech Ltd,Active,B ,10.0,INE099J01015,Roads &amp; Highways,Equity
5551,533211,PARABDRUGS,Parabolic Drugs Ltd,Active,T ,10.0,INE618H01016,Pharmaceuticals,Equity
5553,533216,TECHNOFAB,TECHNOFAB ENGINEERING LIMITED,Active,T ,10.0,INE509K01011,Construction &amp; Engineering,Equity
